#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 261000      1.76e+00      1.48e-02      6.46e-02    7.4e-04
 262000      2.13e+00      7.04e-03      7.81e-02    7.4e-04
 263000      1.59e+00      1.59e-04      5.82e-02    7.4e-04
 264000      2.29e+00      1.72e-02      8.42e-02    7.4e-04
 265000      1.80e+00      2.17e-02      6.62e-02    7.4e-04
 266000      1.59e+00      2.51e-02      5.84e-02    7.4e-04
 267000      1.97e+00      3.18e-02      7.22e-02    7.4e-04
 268000      2.03e+00      2.01e-02      7.46e-02    7.4e-04
 269000      1.79e+00      1.32e-02      6.57e-02    7.4e-04
 270000      2.21e+00      7.09e-03      8.15e-02    7.3e-04
 271000      1.70e+00      5.86e-03      6.29e-02    7.3e-04
 272000      1.84e+00      2.06e-02      6.79e-02    7.3e-04
 273000      1.64e+00      1.62e-02      6.03e-02    7.3e-04
 274000      1.56e+00      1.04e-02      5.75e-02    7.3e-04
 275000      1.75e+00      1.39e-02      6.46e-02    7.3e-04
 276000      2.37e+00      1.61e-02      8.76e-02    7.3e-04
 277000      1.88e+00      4.73e-03      6.98e-02    7.3e-04
 278000      1.93e+00      2.58e-02      7.12e-02    7.3e-04
 279000      1.91e+00      2.07e-02      7.04e-02    7.3e-04
 280000      2.23e+00      1.03e-02      8.29e-02    7.2e-04
 281000      2.86e+00      4.67e-03      1.06e-01    7.2e-04
 282000      1.68e+00      4.08e-03      6.23e-02    7.2e-04
 283000      2.00e+00      7.54e-03      7.44e-02    7.2e-04
 284000      2.50e+00      1.41e-02      9.29e-02    7.2e-04
 285000      1.98e+00      1.20e-02      7.38e-02    7.2e-04
 286000      1.88e+00      6.75e-03      6.99e-02    7.2e-04
 287000      2.16e+00      1.62e-02      8.05e-02    7.2e-04
 288000      2.20e+00      1.43e-02      8.18e-02    7.2e-04
 289000      1.87e+00      1.02e-02      6.95e-02    7.2e-04
 290000      1.63e+00      2.08e-03      6.10e-02    7.2e-04
 291000      1.91e+00      2.37e-03      7.13e-02    7.2e-04
 292000      2.34e+00      2.04e-02      8.71e-02    7.2e-04
 293000      1.63e+00      4.50e-03      6.11e-02    7.2e-04
 294000      1.55e+00      1.32e-02      5.78e-02    7.2e-04
 295000      1.68e+00      1.30e-02      6.29e-02    7.1e-04
 296000      1.73e+00      3.07e-03      6.47e-02    7.1e-04
 297000      1.55e+00      1.61e-03      5.81e-02    7.1e-04
 298000      2.28e+00      1.22e-02      8.52e-02    7.1e-04
 299000      2.24e+00      4.89e-03      8.40e-02    7.1e-04
 300000      1.66e+00      5.12e-03      6.23e-02    7.1e-04
 301000      1.61e+00      1.77e-03      6.07e-02    7.1e-04
 302000      1.73e+00      8.16e-03      6.48e-02    7.1e-04
 303000      2.19e+00      2.29e-02      8.20e-02    7.1e-04
 304000      1.73e+00      7.25e-03      6.49e-02    7.1e-04
 305000      1.62e+00      3.06e-02      6.05e-02    7.0e-04
 306000      3.53e+00      2.48e-03      1.33e-01    7.0e-04
 307000      1.46e+00      2.70e-03      5.49e-02    7.0e-04
 308000      1.59e+00      8.16e-03      5.99e-02    7.0e-04
 309000      1.85e+00      1.10e-02      6.97e-02    7.0e-04
 310000      1.60e+00      1.11e-02      6.02e-02    7.0e-04
 311000      1.76e+00      1.01e-03      6.64e-02    7.0e-04
 312000      1.58e+00      2.33e-03      5.97e-02    7.0e-04
 313000      1.58e+00      1.23e-02      5.97e-02    7.0e-04
 314000      1.93e+00      3.04e-03      7.30e-02    7.0e-04
 315000      1.59e+00      1.10e-02      6.03e-02    7.0e-04
 316000      2.10e+00      1.09e-02      7.96e-02    7.0e-04
 317000      1.83e+00      6.61e-04      6.95e-02    7.0e-04
 318000      1.82e+00      4.99e-03      6.88e-02    7.0e-04
 319000      1.82e+00      8.99e-03      6.91e-02    7.0e-04
 320000      1.58e+00      8.60e-03      5.98e-02    6.9e-04
 321000      1.81e+00      1.29e-02      6.89e-02    6.9e-04
 322000      1.71e+00      1.36e-03      6.48e-02    6.9e-04
 323000      1.60e+00      1.53e-03      6.07e-02    6.9e-04
 324000      1.85e+00      1.02e-02      7.03e-02    6.9e-04
 325000      1.98e+00      1.03e-02      7.54e-02    6.9e-04
 326000      1.64e+00      5.39e-04      6.27e-02    6.9e-04
 327000      1.99e+00      1.21e-02      7.59e-02    6.9e-04
 328000      1.52e+00      2.10e-03      5.80e-02    6.9e-04
 329000      1.92e+00      1.07e-02      7.30e-02    6.9e-04
 330000      1.73e+00      5.37e-03      6.60e-02    6.8e-04
 331000      1.71e+00      1.10e-02      6.52e-02    6.8e-04
 332000      1.63e+00      1.02e-02      6.24e-02    6.8e-04
 333000      1.92e+00      1.74e-02      7.34e-02    6.8e-04
 334000      1.57e+00      7.32e-04      6.02e-02    6.8e-04
 335000      1.85e+00      3.16e-03      7.10e-02    6.8e-04
 336000      1.61e+00      8.78e-03      6.18e-02    6.8e-04
 337000      1.64e+00      2.73e-03      6.29e-02    6.8e-04
 338000      1.47e+00      3.73e-03      5.62e-02    6.8e-04
 339000      1.70e+00      3.56e-03      6.52e-02    6.8e-04
 340000      1.91e+00      3.32e-03      7.34e-02    6.8e-04
 341000      1.63e+00      2.89e-03      6.27e-02    6.8e-04
 342000      3.05e+00      1.61e-02      1.17e-01    6.8e-04
 343000      1.62e+00      8.19e-03      6.22e-02    6.8e-04
 344000      1.75e+00      5.51e-03      6.74e-02    6.8e-04
 345000      1.77e+00      4.01e-03      6.83e-02    6.7e-04
 346000      1.49e+00      8.15e-03      5.74e-02    6.7e-04
 347000      1.49e+00      7.42e-04      5.74e-02    6.7e-04
 348000      1.78e+00      1.26e-02      6.85e-02    6.7e-04
 349000      2.29e+00      3.38e-03      8.85e-02    6.7e-04
 350000      1.48e+00      2.88e-02      5.67e-02    6.7e-04
 351000      1.63e+00      8.47e-04      6.31e-02    6.7e-04
 352000      1.74e+00      1.63e-03      6.71e-02    6.7e-04
 353000      1.67e+00      2.73e-02      6.40e-02    6.7e-04
 354000      1.71e+00      7.36e-03      6.62e-02    6.7e-04
 355000      1.72e+00      7.78e-04      6.66e-02    6.6e-04
 356000      1.82e+00      1.98e-03      7.06e-02    6.6e-04
 357000      1.51e+00      4.23e-03      5.84e-02    6.6e-04
 358000      1.70e+00      1.81e-02      6.56e-02    6.6e-04
 359000      1.79e+00      1.01e-02      6.94e-02    6.6e-04
 360000      1.63e+00      1.95e-03      6.34e-02    6.6e-04
 361000      1.58e+00      7.45e-03      6.15e-02    6.6e-04
 362000      1.71e+00      1.86e-02      6.64e-02    6.6e-04
 363000      1.76e+00      2.29e-03      6.84e-02    6.6e-04
 364000      1.68e+00      1.32e-02      6.54e-02    6.6e-04
 365000      1.61e+00      1.91e-03      6.30e-02    6.6e-04
 366000      1.79e+00      6.83e-03      6.98e-02    6.6e-04
 367000      1.56e+00      1.48e-02      6.06e-02    6.6e-04
 368000      1.75e+00      3.62e-03      6.83e-02    6.6e-04
 369000      1.74e+00      1.81e-03      6.80e-02    6.6e-04
 370000      1.64e+00      3.75e-03      6.40e-02    6.5e-04
 371000      1.88e+00      5.30e-03      7.34e-02    6.5e-04
 372000      3.95e+00      1.27e-02      1.54e-01    6.5e-04
 373000      1.67e+00      1.54e-02      6.53e-02    6.5e-04
 374000      1.40e+00      1.11e-02      5.48e-02    6.5e-04
 375000      1.41e+00      3.25e-03      5.54e-02    6.5e-04
 376000      1.62e+00      1.32e-02      6.34e-02    6.5e-04
 377000      1.57e+00      1.04e-02      6.14e-02    6.5e-04
 378000      1.72e+00      8.22e-04      6.77e-02    6.5e-04
 379000      1.54e+00      5.08e-03      6.03e-02    6.5e-04
 380000      1.91e+00      3.68e-03      7.50e-02    6.5e-04
 381000      1.58e+00      8.75e-03      6.22e-02    6.5e-04
 382000      1.77e+00      4.19e-03      6.97e-02    6.5e-04
 383000      1.50e+00      2.36e-03      5.90e-02    6.5e-04
 384000      1.62e+00      4.90e-03      6.38e-02    6.5e-04
 385000      1.72e+00      6.12e-03      6.77e-02    6.4e-04
 386000      1.61e+00      6.59e-03      6.33e-02    6.4e-04
 387000      1.74e+00      4.73e-04      6.86e-02    6.4e-04
 388000      1.55e+00      6.44e-03      6.10e-02    6.4e-04
 389000      1.57e+00      8.40e-03      6.17e-02    6.4e-04
 390000      1.79e+00      1.46e-03      7.09e-02    6.4e-04
 391000      1.96e+00      5.73e-03      7.75e-02    6.4e-04
 392000      2.28e+00      7.97e-03      9.00e-02    6.4e-04
 393000      1.63e+00      8.78e-05      6.46e-02    6.4e-04
